"가격","제조사","종류","주행거리","변속기","연료형태","색상","사고여부","연식개월","차주변경"
1049,"기아","중형차",146242,"오토","LPG","흰색","N",83,2
1530,"기아","중형차",42417,"오토","디젤","흰색","Y",52,2
777,"현대","중형차",93236,"오토","가솔린","은색","N",117,2
1580,"현대","중형차",91687,"오토","가솔린","검정색","N",51,2
2250,"기아","중형차",44718,"오토","가솔린","쥐색","N",42,1
590,"기아","중형차",97000,"오토","가솔린","쥐색","N",145,2
1550,"현대","중형차",60176,"오토","가솔린","흰색","N",80,1
570,"기아","중형차",106393,"오토","가솔린","검정색","Y",144,5
1290,"기아","중형차",81489,"오토","디젤","검정색","N",81,2
660,"기아","중형차",98464,"오토","LPG","쥐색","N",117,2
1280,"현대","중형차",61393,"오토","가솔린","은색","N",66,0
240,"현대","중형차",75273,"오토","가솔린","흰색","N",190,2
999,"기아","중형차",113878,"오토","가솔린","흰색","N",93,1
570,"현대","중형차",118440,"오토","가솔린","빨간색","N",128,3
2090,"기아","중형차",60544,"오토","가솔린","흰색","N",51,0
1290,"현대","중형차",122012,"오토","LPG","진주색","N",56,1
2200,"기아","중형차",48357,"오토","가솔린","흰색","N",40,1
1630,"기아","중형차",45363,"오토","디젤","청색","N",53,1
550,"현대","중형차",133504,"오토","LPG","흰색","N",150,5
980,"현대","중형차",136688,"오토","LPG","흰색","N",63,2
520,"현대","중형차",148188,"오토","LPG","은색","N",124,5
1320,"현대","중형차",94509,"오토","LPG","흰색","N",48,1
730,"기아","중형차",115156,"오토","가솔린","쥐색","N",125,6
649,"현대","중형차",93324,"오토","가솔린","흰색","N",146,1
590,"기아","중형차",138292,"오토","가솔린","쥐색","N",138,1
599,"현대","중형차",161657,"오토","가솔린","흰색","N",124,2
499,"현대","중형차",87806,"오토","가솔린","쥐색","Y",145,3
1880,"현대","중형차",58028,"오토","가솔린","청색","N",61,1
799,"현대","중형차",191801,"오토","LPG","흰색","N",66,1
1580,"기아","중형차",84885,"오토","가솔린","흰색","N",68,1
