선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
박종훈,SSG,3,5,0,0,0,11,11,48.0,7.5,3.94,1.12,0.324,64.7,6.0,0.28,5.11,5.28,0.14
김윤수,삼성,3,3,0,3,2,37,1,35.0,8.23,5.66,0.51,0.339,56.5,5.91,0.27,4.23,4.25,0.12
임준형,LG,1,3,0,1,0,10,5,30.0,7.8,4.2,0.6,0.37,61.8,6.0,-0.2,4.17,4.23,0.12
이현승,두산,1,0,0,2,1,23,0,8.2,9.35,4.15,2.08,0.407,78.9,6.23,0.43,6.0,5.97,0.11
김태오,KT,0,0,0,0,0,5,0,4.1,10.38,0.0,0.0,0.529,77.8,4.15,0.04,1.03,0.57,0.1
장재영,Hero,0,0,0,0,0,14,0,14.0,12.21,4.5,1.29,0.512,67.4,7.71,-0.02,4.2,3.9,0.1
주현상,한화,0,1,1,4,1,49,0,55.1,5.37,2.28,0.81,0.342,55.6,6.83,-0.5,4.3,4.45,0.09
장원준,두산,0,1,0,6,0,27,0,17.0,3.71,3.71,0.0,0.371,74.2,3.71,0.48,3.93,4.23,0.09
김현준,KIA,0,1,0,0,0,12,0,14.2,5.52,3.07,0.0,0.345,46.2,5.52,-0.29,3.14,3.31,0.09
장현식,KIA,2,3,1,19,5,54,0,52.0,6.92,4.5,0.69,0.311,80.9,3.12,1.19,4.19,4.2,0.09
박정수,두산,1,1,0,0,0,13,0,19.2,8.24,4.12,0.46,0.296,78.1,3.2,0.45,3.7,3.65,0.08
쿠에바스,KT,1,0,0,0,0,2,2,11.0,6.55,4.09,0.82,0.04,75.8,2.45,0.45,4.71,4.85,0.07
채지선,LG,0,0,0,1,0,3,0,3.0,6.0,0.0,0.0,0.143,100.0,0.0,0.17,3.01,3.32,0.07
심재민,KT,4,1,0,6,0,44,1,43.1,4.36,3.32,0.83,0.264,74.9,3.74,1.31,4.61,4.8,0.07
최충연,삼성,0,1,0,0,0,38,0,38.1,6.81,4.7,0.7,0.308,66.9,4.7,-0.03,4.57,4.74,0.06
이영준,Hero,2,2,0,4,1,26,0,21.0,6.86,6.0,0.0,0.397,71.4,4.29,-0.1,3.82,3.94,0.06
윤정현,Hero,1,1,0,4,0,17,2,22.2,6.75,4.76,0.79,0.357,65.5,6.35,0.5,5.11,5.42,0.06
강효종,LG,1,0,0,0,0,1,1,5.0,7.2,7.2,0.0,0.385,77.8,3.6,0.12,4.14,4.24,0.06
김민,KT,0,0,0,2,0,6,0,7.2,9.39,2.35,1.17,0.188,89.3,2.35,0.36,4.12,4.02,0.05
최성훈,LG,0,0,0,6,0,45,0,33.1,5.94,3.51,0.27,0.229,77.1,2.16,1.07,3.67,3.8,0.05
최동환,LG,0,1,0,0,0,47,0,50.0,5.4,3.06,0.9,0.256,71.4,4.14,0.77,4.52,4.62,0.05
류진욱,NC,4,2,0,4,0,51,0,46.1,7.19,6.02,0.39,0.329,67.3,4.86,0.76,4.57,4.74,0.05
조현우,KT,0,0,0,2,0,19,0,12.0,3.75,3.0,0.0,0.318,63.6,4.5,0.15,4.51,5.13,0.04
안영명,KT,0,0,0,0,0,4,0,3.1,2.7,0.0,0.0,0.25,66.7,2.7,0.05,2.74,2.87,0.03
김창훈,롯데,0,0,0,0,0,1,0,1.2,10.8,0.0,0.0,0.5,66.7,5.4,-0.01,0.94,0.44,0.03
김기훈,KIA,0,0,0,0,0,5,0,8.2,9.35,7.27,0.0,0.2,90.9,1.04,0.4,3.69,3.63,0.02
신헌민,SSG,0,0,0,0,0,1,0,1.0,9.0,0.0,0.0,0.75,33.3,9.0,-0.07,1.34,0.98,0.02
김대우,롯데,0,0,0,1,0,10,0,10.0,7.2,7.2,0.0,0.231,64.3,4.5,0.11,4.14,4.24,0.02
박치국,두산,1,2,0,2,0,15,0,11.2,9.26,6.94,0.0,0.231,55.6,5.4,0.11,4.11,4.35,0.02
장재혁,KIA,0,0,0,0,0,3,0,3.0,12.0,9.0,0.0,0.429,66.7,6.0,-0.02,3.67,3.48,0.02
한재승,NC,0,0,0,2,0,12,0,10.2,9.28,8.44,0.0,0.406,83.3,2.53,0.16,4.09,4.17,0.01
박준영,한화,0,1,0,0,0,5,2,11.0,8.18,6.55,0.82,0.353,40.8,10.64,-0.48,4.89,4.89,0.01
송승기,LG,0,1,0,0,0,7,0,8.1,10.8,6.48,1.08,0.348,73.5,5.4,-0.1,4.66,4.46,0.01
장지수,KIA,0,0,0,0,0,1,0,2.0,4.5,4.5,0.0,0.286,100.0,0.0,0.12,3.84,4.03,0.01
이도윤(투),한화,0,0,0,0,0,2,0,1.1,0.0,0.0,0.0,0.5,25.0,20.25,-0.1,3.34,3.69,0.01
정성종,롯데,0,0,0,0,0,5,0,4.1,10.38,8.31,0.0,0.333,50.0,4.15,-0.08,3.8,3.71,0.0
최지강,두산,0,0,0,0,0,2,0,1.2,10.8,10.8,0.0,0.857,50.0,21.6,-0.21,4.54,4.52,0.0
박시후,SSG,0,0,0,0,0,2,0,1.0,0.0,0.0,0.0,0.5,33.3,18.0,0.04,3.34,3.69,0.0
이대호(투),롯데,0,0,0,1,0,1,0,0.1,0.0,0.0,0.0,0.0,-,0.0,0.03,3.34,3.69,0.0
조무근,롯데,0,0,0,0,0,2,0,2.0,4.5,4.5,0.0,0.286,66.7,4.5,0.01,3.84,4.03,0.0
김현수,KIA,0,0,0,0,0,1,0,2.0,4.5,4.5,0.0,0.429,75.0,4.5,0.0,3.84,4.03,0.0
손주영,LG,0,1,0,0,0,3,3,12.2,5.68,5.68,0.0,0.256,66.7,4.97,0.21,4.68,5.15,0.0
윤태현,SSG,0,0,0,0,0,3,0,2.0,9.0,9.0,0.0,0.333,50.0,9.0,0.07,4.34,4.38,-0.0
지명성,KT,0,0,0,0,0,2,0,2.0,4.5,0.0,0.0,0.375,75.0,4.5,0.01,3.84,4.49,-0.0
