ymonth,nation,itemNm,imXprt,weight,dollar
202001,몰타,,수입,159.1,2952.0
202001,대만,,수입,1415.0,20337.0
202001,튀니지,,수입,4159.6,37930.0
202001,러시아,,수입,28243.0,80661.0
202001,터키,,수입,2376.1,29005.0
202001,베트남,,수출,172935.45,414264.0
202001,필리핀,,수출,11350.0,12218.0
202001,크로아티아,,수입,547.0,9154.0
202001,미국,,수출,675.0,2684.0
202001,미국,,수입,481175.45,1554487.0
202001,리비아,,수입,234.6,2991.0
202001,호주,,수입,240.0,4056.0
202001,모로코,,수입,272.8,3200.0
202001,중국,,수출,23216.0,100826.0
202001,스페인,,수입,69.8,1169.0
202001,러시아,어류,수입,6000.0,55464.0
202001,스리랑카,어류,수출,10.0,7.0
202001,스리랑카,어류,수입,3913.75,28513.0
202001,태국,어류,수출,5004.0,64632.0
202001,나이지리아,어류,수출,460.0,6056.0
202001,베트남,어류,수입,186918.0,609664.0
202001,필리핀,어류,수입,2560.0,12032.0
202001,미국,어류,수출,1462.3,27236.0
202001,호주,어류,수출,120.88,2520.0
202001,영국,어류,수입,1.4,31.0
202001,페루,멸치젓,수입,18.8,262.0
202001,미국,멸치젓,수출,2069.12,3716.0
202001,미국,연어,수출,158.0,800.0
202001,영국,연어,수입,151.284,3336.0
202001,터키,송어,수입,20.0,437.0
202001,도미니카공화국,갈치,수출,178.65,1631.0
202001,미국,갈치,수출,81.36,1220.0
202001,도미니카공화국,고등어,수출,252.0,2403.0
202001,카나다,고등어,수출,288.0,2853.0
202001,미국,고등어,수출,2160.94,20231.0
202001,북마나리아나군도,고등어,수출,924.0,7725.0
202001,중국,조기,수출,285.0,573.0
202001,미국,꽁치,수출,95.28,681.0
202001,태국,어류,수입,7200.0,7256.0
202001,일본,어류,수입,9.4,182.0
202001,미국,어류,수출,532.88,5803.0
202001,호주,어류,수출,45.4,332.0
202001,북마나리아나군도,어류,수출,181.6,1384.0
202001,튀니지,가다랑어줄무늬버니토우,수출,497660.0,434232.0
202001,러시아,가다랑어줄무늬버니토우,수출,27000.0,48440.0
202001,태국,가다랑어줄무늬버니토우,수출,16878000.0,12914523.0
202001,인도네시아,가다랑어줄무늬버니토우,수출,367974.0,360571.0
202001,에쿠아도르,가다랑어줄무늬버니토우,수출,3012214.0,2641362.0
202001,베트남,가다랑어줄무늬버니토우,수출,1728911.6,1293256.0
202001,콜롬비아,가다랑어줄무늬버니토우,수출,415110.0,357400.0
202001,스페인,가다랑어줄무늬버니토우,수출,749560.0,631244.0
202001,러시아,게살,수입,544.3,52132.0
202001,미국,게살,수입,6.232,109.0
202001,중국,게살,수입,36.0,1373.0
202001,마카오,게살,수출,84.0,2239.0
202001,영국,게살,수입,0.5,11.0
202001,프랑스,붉은 대게살,수출,10387.3,190095.0
202001,서사모아,붉은 대게살,수출,135.0,1621.0
202001,대만,붉은 대게살,수출,1231.2,23505.0
202001,베트남,붉은 대게살,수출,2250.0,12492.0
202001,일본,붉은 대게살,수출,145530.0,2363759.0
202001,일본,붉은 대게살,수입,3156.0,67886.0
202001,아랍에미리트연합,붉은 대게살,수출,3459.96,12815.0
202001,미국,붉은 대게살,수출,36752.2,703612.0
202001,기타국,붉은 대게살,수입,12258.0,234996.0
202001,카나다,게살,수입,1719.0,105721.0
202001,파키스탄,게살,수입,8.0,60.0
202001,중국,게살,수출,900.0,6974.0
202001,말레이시아,게살,수출,17.55,145.0
202001,영국,게살,수입,24.0,667.0
202001,홍콩,게 조제품,수출,1184.0,31693.0
