선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
루이즈,LG,27,94,84,13,1,10,6,9,13,1,0.169,0.155,0.234,0.262,0.496,0.233,-0.45
한태양,롯데,38,72,61,9,0,14,3,5,24,1,0.243,0.148,0.235,0.164,0.399,0.206,-0.45
김한별,NC,24,23,21,2,0,0,0,0,6,0,0.133,0.095,0.095,0.095,0.19,0.086,-0.45
최정용,KIA,30,23,22,2,0,5,0,0,6,0,0.125,0.091,0.091,0.091,0.182,0.082,-0.45
크론,SSG,67,259,243,54,11,21,35,9,68,0,0.256,0.222,0.255,0.42,0.675,0.291,-0.46
김성현,SSG,130,359,302,66,2,38,37,31,36,3,0.24,0.219,0.295,0.275,0.57,0.271,-0.46
강진성,두산,40,94,80,13,1,7,8,11,20,4,0.203,0.163,0.28,0.225,0.505,0.248,-0.46
박찬혁,Hero,52,175,161,34,6,13,17,9,67,0,0.318,0.211,0.274,0.354,0.628,0.286,-0.48
이성곤,한화,41,117,99,19,0,6,5,17,32,1,0.279,0.192,0.308,0.242,0.55,0.272,-0.48
이해승,삼성,46,106,99,23,0,11,5,1,29,0,0.329,0.232,0.24,0.263,0.503,0.226,-0.49
이학주,롯데,91,260,232,48,3,29,15,16,54,2,0.256,0.207,0.263,0.302,0.565,0.26,-0.49
박승규,삼성,62,83,74,16,0,10,4,3,15,2,0.267,0.216,0.244,0.243,0.487,0.224,-0.5
배성근,롯데,22,41,39,5,0,3,0,2,12,0,0.185,0.128,0.171,0.154,0.325,0.156,-0.5
김석환,KIA,51,107,94,14,3,15,7,10,32,0,0.186,0.149,0.252,0.266,0.518,0.25,-0.53
정훈,롯데,91,340,294,72,3,39,32,32,66,4,0.299,0.245,0.317,0.303,0.62,0.291,-0.54
윤형준,NC,35,69,67,14,1,5,5,1,21,1,0.289,0.209,0.232,0.269,0.501,0.228,-0.54
김응민,NC,34,75,67,9,1,7,5,3,12,0,0.145,0.134,0.192,0.194,0.386,0.186,-0.56
전병우,Hero,115,231,197,40,5,14,21,17,68,0,0.28,0.203,0.288,0.315,0.603,0.283,-0.58
이용규,Hero,86,326,271,54,0,34,21,45,42,12,0.234,0.199,0.326,0.221,0.547,0.28,-0.59
서호철,NC,89,214,195,40,2,26,14,12,41,3,0.25,0.205,0.265,0.277,0.542,0.254,-0.61
이진영,한화,70,240,220,44,8,27,31,17,90,2,0.288,0.2,0.254,0.373,0.627,0.276,-0.64
신본기,KT,74,138,121,22,1,9,8,10,28,0,0.226,0.182,0.254,0.231,0.485,0.234,-0.65
김동엽,삼성,30,100,95,21,2,9,4,4,22,0,0.264,0.221,0.25,0.337,0.587,0.259,-0.69
송민섭,KT,119,72,64,10,0,17,3,5,19,0,0.222,0.156,0.217,0.234,0.451,0.215,-0.7
정보근,롯데,95,226,199,38,1,8,15,14,55,1,0.257,0.191,0.25,0.216,0.466,0.224,-0.78
유로결,한화,30,68,60,8,0,5,4,4,9,0,0.157,0.133,0.2,0.133,0.333,0.171,-0.85
이도윤,한화,80,126,113,18,1,9,8,8,30,3,0.205,0.159,0.213,0.248,0.461,0.212,-0.86
박대온,NC,59,133,127,23,1,8,10,0,37,0,0.244,0.181,0.192,0.236,0.428,0.192,-0.89
조세진,롯데,39,88,86,16,0,6,6,1,25,0,0.262,0.186,0.195,0.221,0.416,0.187,-1.02
박경수,KT,100,194,166,20,3,13,10,24,70,0,0.181,0.12,0.234,0.193,0.427,0.215,-1.29
김헌곤,삼성,80,239,224,43,1,18,19,9,22,3,0.206,0.192,0.224,0.241,0.465,0.213,-1.87
박용택,LG,1,0,0,0,0,0,0,0,0,0,,,,,,,
강로한,롯데,1,0,0,0,0,0,0,0,0,0,,,,,,,
김재유,롯데,1,0,0,0,0,0,0,0,0,0,,,,,,,
박재욱,LG,1,0,0,0,0,0,0,0,0,0,,,,,,,
강상원,한화,1,0,0,0,0,0,0,0,0,0,,,,,,,
고명성,KT,1,0,0,0,0,0,0,0,0,0,,,,,,,
