"month","nation","itemNm","imxprt","weight","dollar"
"202001","중국","해파리","수입",105350,414960
"202001","튀니지","뱀장어","수입",15655,198640
"202001","터키","뱀장어","수입",8964,101912
"202001","뉴질랜드","뱀장어","수입",642,8324
"202001","이집트","뱀장어","수입",2110,29345
"202001","호주","뱀장어","수입",1400,23424
"202001","모로코","뱀장어","수입",22259,310934
"202001","중국","뱀장어","수입",40985,582391
"202001","프랑스","캐비아","수입",9.66,12375
"202001","홍콩","캐비아","수입",25.8,18392
"202001","러시아","캐비아","수입",7.842,2279
"202001","미국","캐비아","수입",1.33,45
"202001","중국","캐비아","수입",9.99,7893
"202001","필리핀","새끼뱀장어","수입",1006.6,151910
"202001","홍콩","실뱀장어","수입",2351,48088213
"202001","필리핀","실뱀장어","수입",297,228507
"202001","중국","실뱀장어","수입",132.75,2495185
"202001","말레이시아","실뱀장어","수입",70,71960
"202001","카나다","대서양 연어","수입",4308.79,58938
"202001","노르웨이","대서양 연어","수입",1864786.48,23641277
"202001","영국","대서양 연어","수입",7764.03,94970
"202001","북마나리아나군도","대서양 연어","수출",1101.19,26075
"202001","아이슬란드","대서양 연어","수입",10047.101,117477
"202001","세이셜","넙치","수출",1783,6408
"202001","이탈리아","대구","수출",107300,376985
"202001","덴마아크","대구","수출",293624,1060855
"202001","러시아","대구","수입",1954775,5712871
"202001","인도네시아","대구","수출",278680,758456
"202001","베트남","대구","수출",273993.56,688410
"202001","미국","대구","수출",50,584
"202001","미국","대구","수입",560980.86,1338128
"202001","중국","대구","수출",911962.5,3039019
"202001","중국","대구","수입",72000,101299
"202001","스페인","대구","수출",47480,166556
"202001","노르웨이","송어","수입",4665.46,67733
"202001","베트남","메기","수입",208932,764758
"202001","미국","기타","수출",21.5,340
"202001","기니아","세피아 오피시날리스","수입",1871.5,7949
"202001","아일랜드","세피아 오피시날리스","수입",195,2065
"202001","태국","세피아 오피시날리스","수입",0.3,4
"202001","인도네시아","세피아 오피시날리스","수입",3,35
"202001","베트남","세피아 오피시날리스","수입",10073,57214
"202001","스페인","세피아 오피시날리스","수입",22752.5,116681
"202001","기니아","기타","수입",517.5,2382
"202001","기네비소","기타","수입",117,1110
"202001","소말리아","기타","수입",35464,148793
"202001","태국","기타","수입",32412,303916
"202001","인도네시아","기타","수입",18657.2,117604
"202001","베트남","기타","수출",9905,76357
"202001","베트남","기타","수입",305279.06,1973463
"202001","필리핀","기타","수입",1000,10214
"202001","미국","기타","수출",1192,12219
"202001","말레이시아","기타","수입",10206,76091
"202001","페루","옴마스트레페스","수입",44000,115500
"202001","이디오피아","옴마스트레페스","수입",5,34
"202001","대만","옴마스트레페스","수입",24309,63503
"202001","태국","옴마스트레페스","수입",6060,76044
"202001","인도네시아","옴마스트레페스","수입",37609,276969
"202001","베트남","옴마스트레페스","수입",35960.52,334345
"202001","뉴질랜드","옴마스트레페스","수입",86730,429717
"202001","중국","옴마스트레페스","수입",188002.5,806707
"202001","중국","옴마스트레페스","수입",188002.5,806707
"202001","칠레","옴마스트레페스","수입",47460,107558
"202001","스페인","옴마스트레페스","수출",73147,220292
"202001","페루","기타","수입",2042324,4373079
"202001","대만","기타","수입",51246,241281
"202001","아르헨티나","기타","수입",24304,88710
"202001","소말리아","기타","수입",1530,4131
"202001","카나다","기타","수입",24000,68895
"202001","러시아","기타","수입",171264,736503
"202001","우루과이","기타","수입",11972,44648
"202001","태국","기타","수출",50100,186576
"202001","태국","기타","수입",0.4,10
"202001","인도네시아","기타","수입",43826.5,116915
"202001","베트남","기타","수입",3013.3,25285
"202001","일본","기타","수출",9287.5,98776
"202001","미국","기타","수출",28591.35,240929
"202001","미국","기타","수입",326567.38,904368
