"meanPrice","aptName","siggName","dongName","exclusiveArea","householdCnt","leaseCnt","dongCnt","floorAreaRate","parkingLotCnt"
7.125,"파크뷰","서초구","양재동",78.84,15,0,1,296,13
17.09,"신반포12차","서초구","잠원동",75.79,324,0,3,0,312
3.275,"강남아르젠(도시형)","서초구","서초동",18.53,27,0,1,599,8
3.95,"디아레나서초","서초구","서초동",29.68,90,0,2,0,0
12.4694444444444,"대청","강남구","개포동",51.12,822,0,6,0,700
12.4694444444444,"대치2단지","강남구","개포동",51.12,1758,0,11,174,1758
21.5111111111111,"개포주공5단지","강남구","개포동",83.17,940,0,6,151,912
18,"목화","강남구","청담동",133.97,19,0,1,336,12
16.7,"도곡지웰카운티","강남구","도곡동",107.11,37,0,2,0,63
16.2308333333333,"트리지움","송파구","잠실동",59.88,3696,0,46,274,4900
19.3,"장미1차","송파구","신천동",99,2100,0,21,184,2100
7.99875,"현대","송파구","송파동",59.91,243,0,2,0,245
15.3375,"래미안송파파인탑","송파구","송파동",87.05,794,25,9,253,978
18.7971641791045,"올림픽훼밀리타운","송파구","문정동",136.325,4494,0,56,194,4494
4.81,"서경","송파구","방이동",69.91,19,0,1,250,17
7.73666666666667,"한강포스파크","강동구","암사동",80.65,134,0,1,341,161
6.3,"CJ나인파크","강동구","성내동",83.59,60,0,1,480,90
5.41666666666667,"평대미진","강동구","천호동",84.14,58,0,1,294,62
7.105,"창신이수","종로구","창신동",84.5,113,0,1,331,172
11.335,"리첸시아용산","용산구","문배동",84.98,260,0,3,0,635
5.79,"한남리첸시아","용산구","한남동",37.53,371,0,3,499,373
9.12333333333333,"왕십리자이","성동구","하왕십리동",51.91,713,126,7,226,933
7.54666666666667,"성동삼성쉐르빌","성동구","도선동",71.34,342,0,3,535,540
12.5333333333333,"서울숲삼부","성동구","행당동",84.09,498,0,7,253,567
12.4,"두산위브","성동구","행당동",84.99,465,114,7,231,479
8.75,"동인샤인빌","성동구","옥수동",82.9,68,0,1,226,59
15.2914285714286,"동아","성동구","성수동1가",97.02,390,0,3,0,390
10.9025,"래미안아름숲","동대문구","전농동",114.9,719,0,15,181,0
5.82,"청계벽산메가트리움","동대문구","답십리동",59.93,114,0,1,589,96
7.10777777777778,"청솔우성2차","동대문구","답십리동",82.49,127,0,1,293,131
5.5,"장안삼성쉐르빌","동대문구","장안동",102.31,254,0,1,809,614
1.01,"장안뉴시티(도시형)","동대문구","장안동",17.63,149,0,1,649,11
6.185,"장한평월드메르디앙1차","동대문구","장안동",84.95,123,0,2,249,141
7,"장안현대홈타운2차","동대문구","장안동",96.22,193,0,3,274,237
5.56333333333333,"면목두산6단지","중랑구","면목동",84.94,84,0,1,486,0
6.8975,"면목두산4,5단지","중랑구","면목동",84.87,555,0,7,422,639
5.74666666666667,"면목두산4,5단지","중랑구","면목동",59.97,555,0,7,422,639
7.88333333333333,"한일써너스빌","중랑구","상봉동",84.602,504,0,3,600,791
7.12142857142857,"범양","성북구","돈암동",84.92,499,0,5,284,517
5.64,"일신건영휴먼빌","성북구","돈암동",59.52,689,0,11,286,993
8.28333333333333,"코오롱","성북구","삼선동4가",114.84,437,0,5,318,445
4.826,"금호","강북구","번동",84.93,284,0,3,302,233
4.4625,"삼호","강북구","수유동",114.42,79,0,1,717,0
3.5625,"금호1차","도봉구","쌍문동",54.48,690,0,7,228,552
2.25222222222222,"현대1차","도봉구","쌍문동",44.55,783,0,8,242,0
3.75607142857143,"극동","도봉구","방학동",84.935,167,0,2,302,147
5.375,"동부센트레빌","도봉구","방학동",84.974,258,0,4,242,380
8.475,"창동금호어울림","도봉구","창동",152.09,299,0,7,271,417
5.66666666666667,"창동주공3단지","도봉구","창동",59.22,2856,0,32,175,1516
6.75,"동신","노원구","월계동",106.7,864,0,7,0,432
3.375,"우국리더스빌","노원구","공릉동",49.6,79,0,1,248,69
6.5,"메트로타워","은평구","불광동",104.49,69,0,1,845,44
2.8,"에덴","은평구","불광동",66.24,10,0,1,293,8
3.3,"상아","은평구","응암동",73.67,17,0,1,594,15
8.395,"힐스테이트백련산4차","은평구","응암동",59.98,963,30,13,249,1180
3.99,"진흥펠리체","은평구","응암동",58.77,25,0,1,245,18
3.58444444444444,"신성수정","은평구","신사동",59.63,180,0,1,280,175
11.875,"은평뉴타운폭포동힐스테이트4-2단지","은평구","진관동",166.96,571,0,15,145,1119
1.5,"미동","서대문구","충정로3가",59.27,100,0,1,0,0
8.7,"DMC센트레빌","서대문구","남가좌동",84.87,473,100,7,233,576
10.0992307692308,"공덕삼성","마포구","공덕동",59.74,651,0,5,266,779
11.585,"강변힐스테이트","마포구","현석동",114.99,510,0,10,219,588
11.4814814814815,"목동신시가지6단지","양천구","목동",47.94,1368,0,15,139,783
11.0041666666667,"목동신시가지4단지","양천구","목동",47.25,1382,0,16,0,757
3.25,"궁전","양천구","신월동",76.35,91,0,1,360,87
2.42666666666667,"궁전","양천구","신월동",59.76,91,0,1,360,87
8.28333333333333,"태진한솔","강서구","염창동",84.97,356,0,5,0,287
11.45,"e편한세상염창","강서구","염창동",74.2998,499,56,6,289,614
4.3985,"가양2단지성지","강서구","가양동",34.69,1624,0,10,195,486
5.8325,"신도림팰러티움","구로구","신도림동",84.95,96,0,1,646,199
14.6245454545455,"신도림4차e-편한세상","구로구","신도림동",117.74,853,0,15,249,1484
8.68727272727273,"삼성래미안","구로구","구로동",110.188,1244,0,16,318,1488
4.9975,"현대의보","구로구","구로동",83.02,116,0,1,279,86
6.4428,"현대연예인","구로구","구로동",84.91,735,0,6,234,510
4.86428571428571,"경남2차(아너스빌)","구로구","고척동",84.85,273,0,3,311,272
1.115,"포스시티(도시형)","구로구","오류동",17.75,102,0,1,792,40
4.8,"더메디치","구로구","오류동",106.4191,35,0,2,200,51
4,"다청림(143-1)","구로구","궁동",84.21,38,0,2,0,48
6.105,"천왕이펜하우스1단지","구로구","천왕동",59.94,314,156,6,152,343
6.604,"천왕이펜하우스3단지","구로구","천왕동",84.98,1044,1002,13,0,0
2.975,"우성(795-5)","금천구","시흥동",70.11,24,0,1,216,24
4.7,"삼성","영등포구","영등포동7가",84.87,19,0,1,286,16
15,"유원제일2차","영등포구","당산동5가",145.68,410,0,5,199,492
4.8325,"현대2차","영등포구","문래동6가",41.04,390,0,2,251,390
8.875,"신길우성1차","영등포구","신길동",83.64,688,0,6,176,1100
1.33,"프리가(도시형)","영등포구","신길동",13.66,88,0,1,599,20
3.925,"종인아네스트","영등포구","대림동",75.8,18,0,1,247,20
14.8533333333333,"흑석한강센트레빌1차","동작구","흑석동",84.89,655,114,10,230,805
1.86,"대방아데나339(도시형)","동작구","대방동",26.78,149,0,1,239,42
4.9,"한라타운","관악구","신림동",79.6586,73,0,1,0,81
4.04,"태영","관악구","신림동",49.92,88,0,1,739,113
8.95,"방배홈타운","서초구","방배동",87.51,30,0,1,299,46
9.58333333333333,"우면한라","서초구","우면동",59.98,252,0,7,120,221
9.9,"세방하이빌","강남구","역삼동",59.77,67,0,2,299,67
7.2,"역삼우정에쉐르1","강남구","역삼동",59.81,69,0,1,548,69
14.7,"현대2차","강남구","청담동",84.92,214,0,2,200,214
14.4,"삼성풍림2차","강남구","삼성동",59.94,112,0,1,275,134
3.6425,"선릉LG에클라트(B동)","강남구","삼성동",36.47,293,0,1,700,161
56,"아이파크삼성","강남구","삼성동",195.388,449,0,3,296,1253
24.925,"래미안대치하이스턴","강남구","대치동",110.39,354,0,5,347,461
9.68,"논현아트빌","강남구","논현동",90.38,11,0,1,242,14
23.375,"아크로힐스논현","강남구","논현동",113.231,368,34,4,299,645
18.5,"수서한아름","강남구","수서동",163.68,498,0,7,249,996
16.9,"도곡렉슬","강남구","도곡동",59.9937,3002,0,34,274,4443
