"선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"송준석","삼성",26,56,51,12,1,6,4,2,14,0,0.297,0.235,0.273,0.353,0.626,0.278,-0.13
"남태혁","SK",12,24,22,5,0,1,1,2,3,0,0.263,0.227,0.292,0.227,0.519,0.254,-0.13
"홍재호","KIA",10,20,19,4,0,2,0,1,5,0,0.286,0.211,0.25,0.211,0.461,0.221,-0.13
"박정음","Hero",60,88,71,14,0,13,7,11,31,6,0.35,0.197,0.345,0.254,0.599,0.306,-0.13
"이병규","롯데",8,22,19,3,0,1,0,2,7,0,0.25,0.158,0.273,0.263,0.536,0.258,-0.13
"이창열","한화",11,16,13,2,0,3,1,1,5,0,0.25,0.154,0.267,0.154,0.421,0.225,-0.13
"최승준","SK",10,24,22,5,0,2,0,2,10,0,0.417,0.227,0.292,0.227,0.519,0.254,-0.14
"국해성","두산",21,41,35,6,0,2,2,5,13,0,0.273,0.171,0.293,0.257,0.55,0.269,-0.14
"박헌욱","NC",6,9,9,1,0,0,1,0,5,0,0.25,0.111,0.111,0.222,0.333,0.137,-0.14
"최정민","KIA",4,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.14
"김민식","KIA",53,116,96,16,0,6,14,15,29,2,0.232,0.167,0.293,0.188,0.481,0.25,-0.15
"해즐베이커","KIA",11,46,41,6,2,5,5,4,18,1,0.19,0.146,0.239,0.341,0.58,0.262,-0.15
"임지열","Hero",11,18,15,2,0,0,3,1,7,0,0.25,0.133,0.235,0.2,0.435,0.217,-0.15
"오영수","NC",3,8,8,1,0,0,0,0,4,0,0.25,0.125,0.125,0.125,0.25,0.114,-0.15
"전민수","LG",75,106,96,23,0,8,8,9,18,2,0.295,0.24,0.305,0.313,0.618,0.287,-0.16
"정진기","SK",13,17,16,3,0,1,2,1,2,0,0.214,0.188,0.235,0.188,0.423,0.206,-0.16
"나지완","KIA",56,153,129,24,6,12,17,19,37,0,0.205,0.186,0.301,0.364,0.665,0.302,-0.16
"김재율","LG",4,9,9,1,0,0,0,0,0,0,0.111,0.111,0.111,0.111,0.222,0.101,-0.16
"박한결","한화",9,11,11,2,0,0,0,0,4,0,0.286,0.182,0.182,0.182,0.364,0.166,-0.17
"고명성","KT",30,18,16,2,0,4,0,2,7,0,0.222,0.125,0.222,0.125,0.347,0.186,-0.17
"고장혁","KIA",22,32,31,7,0,2,3,0,8,0,0.304,0.226,0.25,0.29,0.54,0.251,-0.18
"배성근","롯데",36,48,44,9,0,4,2,4,13,1,0.29,0.205,0.271,0.227,0.498,0.241,-0.18
"류승현","KIA",57,163,150,38,0,14,14,9,29,3,0.314,0.253,0.313,0.32,0.633,0.295,-0.19
"박승규","삼성",14,23,21,4,0,2,2,2,7,1,0.286,0.19,0.261,0.19,0.451,0.225,-0.19
"허일","롯데",71,162,149,38,1,14,17,12,28,2,0.308,0.255,0.315,0.302,0.617,0.29,-0.2
"장승현","두산",35,46,41,7,0,3,3,3,13,0,0.241,0.171,0.239,0.22,0.459,0.22,-0.21
"신민재","LG",81,94,81,19,0,25,5,8,17,10,0.292,0.235,0.323,0.272,0.595,0.288,-0.22
"김호재","삼성",28,33,32,7,0,1,0,1,7,0,0.28,0.219,0.242,0.25,0.492,0.226,-0.23
"장운호","한화",7,12,10,1,0,2,0,1,1,0,0.111,0.1,0.182,0.1,0.282,0.152,-0.23
"백창수","한화",16,48,44,10,0,4,3,0,18,0,0.385,0.227,0.261,0.295,0.556,0.253,-0.24
"김민수","삼성",29,41,39,8,0,5,2,1,16,0,0.333,0.205,0.22,0.231,0.451,0.205,-0.24
"손주인","삼성",20,35,31,6,1,2,4,2,6,0,0.208,0.194,0.242,0.29,0.532,0.244,-0.24
"문규현","롯데",40,72,64,16,0,7,10,3,10,0,0.281,0.25,0.271,0.281,0.552,0.251,-0.25
"강승호","SK",15,42,39,6,2,5,5,2,18,0,0.211,0.154,0.195,0.308,0.503,0.222,-0.25
"김영환","KT",13,15,14,1,0,1,0,1,3,0,0.091,0.071,0.133,0.071,0.204,0.112,-0.25
"정훈","롯데",88,222,190,43,2,26,17,24,47,4,0.289,0.226,0.324,0.289,0.613,0.294,-0.26
"김창평","SK",18,53,45,8,0,4,3,4,11,0,0.235,0.178,0.26,0.222,0.482,0.236,-0.26
"이진영","KIA",11,15,15,2,0,1,2,0,4,0,0.182,0.133,0.133,0.133,0.266,0.122,-0.26
"신용수","롯데",17,20,20,2,1,4,2,0,4,0,0.067,0.1,0.1,0.25,0.35,0.144,-0.26
"박승욱","SK",8,15,13,1,1,3,2,2,5,0,0,0.077,0.2,0.308,0.508,0.233,-0.26
"배영섭","SK",30,80,71,16,0,5,7,6,15,2,0.281,0.225,0.3,0.239,0.539,0.263,-0.27
"문상철","KT",33,68,60,12,2,8,7,4,26,2,0.294,0.2,0.265,0.317,0.582,0.265,-0.27
"허정협","Hero",37,77,68,16,0,3,8,7,19,0,0.32,0.235,0.312,0.25,0.562,0.273,-0.28
"김준태","롯데",43,104,88,14,0,10,8,12,23,0,0.215,0.159,0.275,0.193,0.468,0.24,-0.28
"김대한","두산",19,18,15,0,0,4,0,3,9,0,0,0,0.167,0,0.167,0.127,-0.28
"박승욱","KT",93,230,210,51,2,21,13,12,45,4,0.301,0.243,0.29,0.324,0.614,0.285,-0.29
"김경호","두산",32,27,26,5,0,4,2,0,7,0,0.263,0.192,0.192,0.231,0.423,0.188,-0.29
"백승민","삼성",19,45,42,10,0,4,4,2,11,0,0.313,0.238,0.267,0.262,0.529,0.244,-0.3
"이성곤","삼성",13,28,28,5,0,1,0,0,6,0,0.227,0.179,0.179,0.286,0.465,0.197,-0.31
"최경모","SK",17,16,16,1,0,2,1,0,2,0,0.071,0.063,0.063,0.125,0.188,0.077,-0.31
"김문호","롯데",51,109,103,25,0,6,4,4,30,2,0.338,0.243,0.269,0.311,0.58,0.26,-0.32
"백승현","LG",14,30,30,5,0,1,0,0,10,1,0.25,0.167,0.167,0.2,0.367,0.163,-0.32
