"date","aptName","dong","household","floorAreaRate","numParkinglot","exclusiveArea","floor","price"
2020-05-30,"래미안대치팰리스2단지","대치동",330,258,601,91.93,16,29.4
2020-05-30,"강남상가아파트","신사동",94,387,0,63.31,4,5.1
2020-05-30,"현대6,7차","압구정동",1288,210,1120,157.36,7,36
2020-05-30,"현대65동(대림아크로빌)","압구정동",56,240,89,157.36,7,36
2020-05-30,"까치마을","수서동",1404,208,1410,39.6,6,8.99
2020-05-30,"삼익","수서동",645,224,650,49.2,11,9.95
2020-05-30,"신동아","수서동",1162,203,325,49.96,11,10.5
2020-05-30,"대림아크로빌","도곡동",490,936,1662,138.657,45,18.9
2020-05-30,"파크힐","도곡동",17,287,17,88.77,5,8.95
2020-05-30,"도곡렉슬","도곡동",3002,274,4443,84.9984,12,23.5
2020-05-30,"도곡렉슬","도곡동",3002,274,4443,59.9818,8,18.3
2020-05-30,"양재SK허브프리모","도곡동",176,629,261,67.57,12,7.8
2020-05-31,"역삼디오빌","역삼동",457,966,338,30.03,10,3.2
2020-05-31,"역삼푸르지오","역삼동",738,283,753,84.9097,2,19.7
2020-05-31,"대청","개포동",822,0,700,49.86,15,12
2020-05-31,"대치2단지","개포동",1758,174,1758,49.86,15,12
2020-05-31,"개포주공6단지","개포동",1060,0,300,73.26,6,18
2020-05-31,"개포주공7단지","개포동",900,0,400,73.26,6,18
2020-05-31,"선경1,2차","대치동",1034,179,1661,127.75,10,31.5
2020-06-01,"대청","개포동",822,0,700,60,2,12.9
2020-06-01,"대치2단지","개포동",1758,174,1758,60,2,12.9
2020-06-01,"대청","개포동",822,0,700,60,8,13.2
2020-06-01,"대치2단지","개포동",1758,174,1758,60,8,13.2
2020-06-01,"삼성청담공원","청담동",391,271,554,84.96,5,15.5
2020-06-01,"은마","대치동",4424,204,3021,76.79,7,19.5
2020-06-01,"대치아이파크","대치동",768,274,1171,84.98,20,23.3
2020-06-01,"동부센트레빌","대치동",805,297,1824,145.83,19,36
2020-06-01,"대치대우아이빌명문가","대치동",210,637,210,33.06,7,3.25
2020-06-01,"한양5차","압구정동",343,192,172,100.5,7,21.8
2020-06-01,"현대1,2차","압구정동",960,224,720,161.19,12,34.7
2020-06-01,"우성7차","일원동",802,157,641,83.69,6,17.9
2020-06-01,"푸른마을","일원동",930,249,930,59.76,5,11.6
2020-06-01,"까치마을","수서동",1404,208,1410,34.44,3,7.7
2020-06-01,"도곡렉슬","도곡동",3002,274,4443,120.8233,12,26.69
2020-06-01,"도곡아이파크1차","도곡동",321,295,548,84.122,10,16.7
2020-06-02,"개포주공6단지","개포동",1060,0,300,60.13,4,16.5
2020-06-02,"개포주공7단지","개포동",900,0,400,60.13,4,16.5
2020-06-02,"삼성롯데","삼성동",339,337,418,59.4,2,14.5
2020-06-02,"삼성힐스테이트1단지","삼성동",1144,276,1529,84.236,11,22.5
