"","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"159","김진욱(타)","한화",1,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,-0.03
"160","박시원","NC",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
"161","유서준","SK",28,25,24,6,1,10,2,1,7,1,0.313,0.25,0.28,0.417,0.697,0.302,-0.04
"162","양석환","LG",40,132,118,29,3,8,13,10,25,0,0.289,0.246,0.315,0.364,0.679,0.309,-0.04
"163","강현우","KT",26,32,30,6,1,2,3,2,11,0,0.278,0.2,0.25,0.367,0.617,0.271,-0.04
"164","정주후","KT",10,2,1,0,0,3,0,1,0,0,0,0,0.5,0,0.5,0.373,-0.04
"165","김호준","롯데",5,4,3,0,0,0,0,1,2,0,0,0,0.25,0,0.25,0.186,-0.04
"166","양찬열","두산",17,26,22,5,0,5,3,3,2,0,0.25,0.227,0.346,0.227,0.573,0.291,-0.06
"167","백동훈","두산",27,19,16,3,0,5,0,1,4,0,0.25,0.188,0.316,0.25,0.566,0.285,-0.06
"168","도태훈","NC",11,13,11,2,0,0,1,2,3,0,0.25,0.182,0.308,0.182,0.49,0.254,-0.06
"169","문상인","KT",3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.06
"170","박준혁","KT",12,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,-0.07
"171","박지훈","두산",10,2,2,0,0,1,0,0,2,0,NA,0,0,0,0,0,-0.07
"172","이호연","롯데",1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.07
"173","이원재","NC",73,146,132,34,4,15,17,11,26,1,0.291,0.258,0.313,0.417,0.73,0.318,-0.08
"174","오재원","두산",85,174,155,36,5,25,27,16,49,10,0.301,0.232,0.301,0.387,0.688,0.306,-0.08
"175","김도환","삼성",34,49,41,9,0,2,9,5,16,0,0.333,0.22,0.292,0.268,0.56,0.264,-0.08
"176","김문호","한화",18,52,46,10,2,6,5,5,11,0,0.242,0.217,0.308,0.37,0.678,0.306,-0.08
"177","강로한","롯데",16,26,21,4,0,6,1,4,6,2,0.267,0.19,0.346,0.19,0.536,0.284,-0.09
"178","김수환","키움",9,12,11,2,0,1,2,1,5,0,0.333,0.182,0.25,0.273,0.523,0.245,-0.09
"179","이거연","SK",8,10,8,1,0,1,0,2,6,0,0.5,0.125,0.3,0.125,0.425,0.24,-0.09
"180","최정민","KIA",24,11,9,1,0,12,2,2,1,1,0.125,0.111,0.273,0.111,0.384,0.218,-0.09
"181","김재현","키움",4,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.09
"182","유영준","NC",4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09
"183","문선재","KIA",15,6,6,1,0,1,0,0,2,0,0.25,0.167,0.167,0.167,0.334,0.151,-0.1
"184","김재현","삼성",35,18,14,2,0,4,4,3,3,0,0.182,0.143,0.294,0.143,0.437,0.238,-0.1
"185","김태훈","KT",2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.1
"186","양성우","한화",5,9,9,2,0,1,0,0,3,0,0.333,0.222,0.222,0.222,0.444,0.202,-0.11
"187","고장혁","KIA",7,13,13,3,0,0,0,0,5,0,0.375,0.231,0.231,0.231,0.462,0.209,-0.12
"188","오명진","두산",5,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.12
"189","김회성","한화",15,25,18,3,0,1,1,3,6,0,0.231,0.167,0.304,0.222,0.526,0.266,-0.13
"190","이정훈","KIA",3,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.13
"191","이홍구","SK",23,53,48,9,1,3,3,3,16,0,0.25,0.188,0.245,0.271,0.516,0.237,-0.14
"192","김성표","삼성",15,8,8,1,0,1,0,0,2,1,0.167,0.125,0.125,0.125,0.25,0.113,-0.15
"193","백승민","삼성",7,12,9,0,0,0,1,1,2,0,0,0,0.25,0,0.25,0.192,-0.16
"194","권민석","두산",55,57,50,13,0,6,7,3,15,1,0.351,0.26,0.291,0.3,0.591,0.269,-0.17
"195","이흥련","SK",47,130,124,30,3,6,19,6,28,0,0.29,0.242,0.277,0.323,0.6,0.269,-0.17
"196","박주홍","키움",13,25,24,6,0,0,1,1,10,0,0.429,0.25,0.28,0.333,0.613,0.278,-0.18
"197","장준원","LG",46,68,60,13,1,10,6,6,7,0,0.226,0.217,0.284,0.317,0.601,0.275,-0.18
